Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
1 1000.00 1400.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
2 1000.00 1397.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
3 2000.00 1394.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
4 5000.00 1391.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
5 5000.00 1388.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
6 1000.00 1385.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
7 5000.00 1382.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
8 1000.00 1379.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
8 3500.00 1379.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
9 1000.00 1376.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
9 2000.00 1376.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
10 1000.00 1373.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
10 5000.00 1373.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
10 3500.00 1373.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
11 5000.00 1370.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
11 3500.00 1370.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
12 5000.00 1367.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
12 2000.00 1367.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
13 5000.00 1364.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
13 2000.00 1364.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
14 5000.00 1361.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
15 5000.00 1358.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
16 1000.00 1355.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
17 5000.00 1352.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
18 5000.00 1349.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
18 2000.00 1349.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
19 3500.00 1346.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
20 1000.00 1343.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
20 3500.00 1343.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
21 5000.00 1340.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
20 2000.00 1343.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
22 1000.00 1337.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
22 3500.00 1337.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
23 5000.00 1334.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
23 3500.00 1334.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
24 1000.00 1331.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
24 3500.00 1331.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
23 2000.00 1334.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
25 5000.00 1328.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
24 2000.00 1331.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
26 5000.00 1325.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
25 2000.00 1328.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
27 5000.00 1322.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
27 3500.00 1322.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
28 1000.00 1319.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
28 3500.00 1319.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
29 1000.00 1316.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
29 3500.00 1316.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
30 5000.00 1313.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
30 3500.00 1313.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
31 1000.00 1310.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
31 3500.00 1310.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
32 5000.00 1307.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
32 3500.00 1307.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
31 2000.00 1310.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
33 5000.00 1304.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
33 3500.00 1304.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
34 1000.00 1301.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
34 5000.00 1301.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
34 3500.00 1301.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
35 1000.00 1298.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
35 5000.00 1298.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
35 3500.00 1298.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
34 2000.00 1301.00 100.000000 49.1902 3.56768 13.9257 2.06076 0 9.0588 0.200398 6.05657 0 0 10.9163 3.01389 0.523311 0.49669 0.98962 0
